Latitude,Longitude,Anomalies
90,-180,-1.138
90,-90,-1.138
90,0,-1.138
90,90,-1.138
90,180,-1.138
60,-180,-0.435
60,-90,-0.435
60,0,-0.435
60,90,-0.435
60,180,-0.435
30,-180,-0.274
30,-90,-0.274
30,0,-0.274
30,90,-0.274
30,180,-0.274
0,-180,-0.072
0,-90,-0.072
0,0,-0.072
0,90,-0.072
0,180,-0.072
-30,-180,-0.154
-30,-90,-0.154
-30,0,-0.154
-30,90,-0.154
-30,180,-0.154
-60,-180,-0.093
-60,-90,-0.093
-60,0,-0.093
-60,90,-0.093
-60,180,-0.093
-90,-180,0.509
-90,-90,0.509
-90,0,0.509
-90,90,0.509
-90,180,0.509
