Latitude,Longitude,Coordinates,Anomalies
90,-180,"90,-180",1.402
90,-90,"90,-90",1.402
90,0,"90,0",1.402
90,90,"90,90",1.402
90,180,"90,180",1.402
60,-180,"60,-180",0.99
60,-90,"60,-90",0.99
60,0,"60,0",0.99
60,90,"60,90",0.99
60,180,"60,180",0.99
30,-180,"30,-180",0.628
30,-90,"30,-90",0.628
30,0,"30,0",0.628
30,90,"30,90",0.628
30,180,"30,180",0.628
0,-180,"0,-180",0.522
0,-90,"0,-90",0.522
0,0,"0,0",0.522
0,90,"0,-90",0.522
0,180,"0.0,180",0.522
-30,-180,"-30,-180",0.504
-30,-90,"-30,-90",0.504
-30,0,"-30,0",0.504
-30,90,"-30,90",0.504
-30,180,"-30,180",0.504
-60,-180,"-60,-180",0.181
-60,-90,"-60,-90",0.181
-60,0,"-60,0",0.181
-60,90,"-60,90",0.181
-60,180,"-60,180",0.181
-90,-180,"-90,-180",0.589
-90,-90,"-90,-90",0.589
-90,0,"-90,0",0.589
-90,90,"-90,90",0.589
-90,180,"-90,180",0.589
