Latitude,Longitude,Coordinates,Anomalies,Date
90,-180,"90,-180",-1.138,1880
90,-90,"90,-90",-1.138,1880
90,0,"90,0",-1.138,1880
90,90,"90,90",-1.138,1880
90,180,"90,180",-1.138,1880
60,-180,"60,-180",-0.435,1880
60,-90,"60,-90",-0.435,1880
60,0,"60,0",-0.435,1880
60,90,"60,90",-0.435,1880
60,180,"60,180",-0.435,1880
30,-180,"30,-180",-0.274,1880
30,-90,"30,-90",-0.274,1880
30,0,"30,0",-0.274,1880
30,90,"30,90",-0.274,1880
30,180,"30,180",-0.274,1880
0,-180,"0,-180",-0.072,1880
0,-90,"0,-90",-0.072,1880
0,0,"0,0",-0.072,1880
0,90,"0,-90",-0.072,1880
0,180,"0.0,180",-0.072,1880
-30,-180,"-30,-180",-0.154,1880
-30,-90,"-30,-90",-0.154,1880
-30,0,"-30,0",-0.154,1880
-30,90,"-30,90",-0.154,1880
-30,180,"-30,180",-0.154,1880
-60,-180,"-60,-180",-0.093,1880
-60,-90,"-60,-90",-0.093,1880
-60,0,"-60,0",-0.093,1880
-60,90,"-60,90",-0.093,1880
-60,180,"-60,180",-0.093,1880
-90,-180,"-90,-180",0.509,1880
-90,-90,"-90,-90",0.509,1880
-90,0,"-90,0",0.509,1880
-90,90,"-90,90",0.509,1880
-90,180,"-90,180",0.509,1880
90,-180,"90,-180",-0.947,1890
90,-90,"90,-90",-0.947,1890
90,0,"90,0",-0.947,1890
90,90,"90,90",-0.947,1890
90,180,"90,180",-0.947,1890
60,-180,"60,-180",-0.378,1890
60,-90,"60,-90",-0.378,1890
60,0,"60,0",-0.378,1890
60,90,"60,90",-0.378,1890
60,180,"60,180",-0.378,1890
30,-180,"30,-180",-0.244,1890
30,-90,"30,-90",-0.244,1890
30,0,"30,0",-0.244,1890
30,90,"30,90",-0.244,1890
30,180,"30,180",-0.244,1890
0,-180,"0,-180",-0.147,1890
0,-90,"0,-90",-0.147,1890
0,0,"0,0",-0.147,1890
0,90,"0,-90",-0.147,1890
0,180,"0.0,180",-0.147,1890
-30,-180,"-30,-180",-0.139,1890
-30,-90,"-30,-90",-0.139,1890
-30,0,"-30,0",-0.139,1890
-30,90,"-30,90",-0.139,1890
-30,180,"-30,180",-0.139,1890
-60,-180,"-60,-180",-0.242,1890
-60,-90,"-60,-90",-0.242,1890
-60,0,"-60,0",-0.242,1890
-60,90,"-60,90",-0.242,1890
-60,180,"-60,180",-0.242,1890
-90,-180,"-90,-180",-0.044,1890
-90,-90,"-90,-90",-0.044,1890
-90,0,"-90,0",-0.044,1890
-90,90,"-90,90",-0.044,1890
-90,180,"-90,180",-0.044,1890
90,-180,"90,-180",-0.501,1900
90,-90,"90,-90",-0.501,1900
90,0,"90,0",-0.501,1900
90,90,"90,90",-0.501,1900
90,180,"90,180",-0.501,1900
60,-180,"60,-180",-0.374,1900
60,-90,"60,-90",-0.374,1900
60,0,"60,0",-0.374,1900
60,90,"60,90",-0.374,1900
60,180,"60,180",-0.374,1900
30,-180,"30,-180",-0.414,1900
30,-90,"30,-90",-0.414,1900
30,0,"30,0",-0.414,1900
30,90,"30,90",-0.414,1900
30,180,"30,180",-0.414,1900
0,-180,"0,-180",-0.201,1900
0,-90,"0,-90",-0.201,1900
0,0,"0,0",-0.201,1900
0,90,"0,-90",-0.201,1900
0,180,"0.0,180",-0.201,1900
-30,-180,"-30,-180",-0.297,1900
-30,-90,"-30,-90",-0.297,1900
-30,0,"-30,0",-0.297,1900
-30,90,"-30,90",-0.297,1900
-30,180,"-30,180",-0.297,1900
-60,-180,"-60,-180",-0.391,1900
-60,-90,"-60,-90",-0.391,1900
-60,0,"-60,0",-0.391,1900
-60,90,"-60,90",-0.391,1900
-60,180,"-60,180",-0.391,1900
-90,-180,"-90,-180",-0.351,1900
-90,-90,"-90,-90",-0.351,1900
-90,0,"-90,0",-0.351,1900
-90,90,"-90,90",-0.351,1900
-90,180,"-90,180",-0.351,1900
90,-180,"90,-180",-0.603,1910
90,-90,"90,-90",-0.603,1910
90,0,"90,0",-0.603,1910
90,90,"90,90",-0.603,1910
90,180,"90,180",-0.603,1910
60,-180,"60,-180",-0.379,1910
60,-90,"60,-90",-0.379,1910
60,0,"60,0",-0.379,1910
60,90,"60,90",-0.379,1910
60,180,"60,180",-0.379,1910
