,ds,yhat,yhat_lower,yhat_upper
0,1880-01-01,-0.15,,
1,1881-01-01,-0.07,,
2,1882-01-01,-0.09,,
3,1883-01-01,-0.16,,
4,1884-01-01,-0.27,,
5,1885-01-01,-0.32,,
6,1886-01-01,-0.3,,
7,1887-01-01,-0.34,,
8,1888-01-01,-0.16,,
9,1889-01-01,-0.09,,
10,1890-01-01,-0.34,,
11,1891-01-01,-0.22,,
12,1892-01-01,-0.26,,
13,1893-01-01,-0.31,,
14,1894-01-01,-0.29,,
15,1895-01-01,-0.22,,
16,1896-01-01,-0.1,,
17,1897-01-01,-0.1,,
18,1898-01-01,-0.26,,
19,1899-01-01,-0.17,,
20,1900-01-01,-0.07,,
21,1901-01-01,-0.15,,
22,1902-01-01,-0.27,,
23,1903-01-01,-0.36,,
24,1904-01-01,-0.46,,
25,1905-01-01,-0.26,,
26,1906-01-01,-0.21,,
27,1907-01-01,-0.38,,
28,1908-01-01,-0.42,,
29,1909-01-01,-0.48,,
30,1910-01-01,-0.42,,
31,1911-01-01,-0.43,,
32,1912-01-01,-0.35,,
33,1913-01-01,-0.34,,
34,1914-01-01,-0.15,,
35,1915-01-01,-0.14,,
36,1916-01-01,-0.35,,
37,1917-01-01,-0.45,,
38,1918-01-01,-0.29,,
39,1919-01-01,-0.27,,
40,1920-01-01,-0.27,,
41,1921-01-01,-0.19,,
42,1922-01-01,-0.28,,
43,1923-01-01,-0.26,,
44,1924-01-01,-0.27,,
45,1925-01-01,-0.22,,
46,1926-01-01,-0.1,,
47,1927-01-01,-0.22,,
48,1928-01-01,-0.2,,
49,1929-01-01,-0.36,,
50,1930-01-01,-0.16,,
51,1931-01-01,-0.09,,
52,1932-01-01,-0.16,,
53,1933-01-01,-0.29,,
54,1934-01-01,-0.13,,
55,1935-01-01,-0.2,,
56,1936-01-01,-0.15,,
57,1937-01-01,-0.03,,
58,1938-01-01,0.0,,
59,1939-01-01,-0.02,,
60,1940-01-01,0.13,,
61,1941-01-01,0.19,,
62,1942-01-01,0.07,,
63,1943-01-01,0.09,,
64,1944-01-01,0.2,,
65,1945-01-01,0.09,,
66,1946-01-01,-0.07,,
67,1947-01-01,-0.03,,
68,1948-01-01,-0.11,,
69,1949-01-01,-0.11,,
70,1950-01-01,-0.17,,
71,1951-01-01,-0.07,,
72,1952-01-01,0.01,,
73,1953-01-01,0.08,,
74,1954-01-01,-0.13,,
75,1955-01-01,-0.14,,
76,1956-01-01,-0.19,,
77,1957-01-01,0.05,,
78,1958-01-01,0.06,,
79,1959-01-01,0.03,,
80,1960-01-01,-0.03,,
81,1961-01-01,0.06,,
82,1962-01-01,0.03,,
83,1963-01-01,0.05,,
84,1964-01-01,-0.2,,
85,1965-01-01,-0.11,,
86,1966-01-01,-0.06,,
87,1967-01-01,-0.02,,
88,1968-01-01,-0.08,,
89,1969-01-01,0.05,,
90,1970-01-01,0.03,,
91,1971-01-01,-0.08,,
92,1972-01-01,0.01,,
93,1973-01-01,0.16,,
94,1974-01-01,-0.07,,
95,1975-01-01,-0.01,,
96,1976-01-01,-0.1,,
97,1977-01-01,0.18,,
98,1978-01-01,0.07,,
99,1979-01-01,0.16,,
100,1980-01-01,0.26,,
101,1981-01-01,0.32,,
102,1982-01-01,0.14,,
103,1983-01-01,0.31,,
104,1984-01-01,0.16,,
105,1985-01-01,0.12,,
106,1986-01-01,0.18,,
107,1987-01-01,0.32,,
108,1988-01-01,0.39,,
109,1989-01-01,0.27,,
110,1990-01-01,0.45,,
111,1991-01-01,0.41,,
112,1992-01-01,0.22,,
113,1993-01-01,0.23,,
114,1994-01-01,0.32,,
115,1995-01-01,0.45,,
116,1996-01-01,0.33,,
117,1997-01-01,0.46,,
118,1998-01-01,0.61,,
119,1999-01-01,0.39,,
120,2000-01-01,0.4,,
121,2001-01-01,0.54,,
122,2002-01-01,0.63,,
123,2003-01-01,0.62,,
124,2004-01-01,0.54,,
125,2005-01-01,0.68,,
126,2006-01-01,0.64,,
127,2007-01-01,0.67,,
128,2008-01-01,0.55,,
129,2009-01-01,0.66,,
130,2010-01-01,0.73,,
131,2011-01-01,0.61,,
132,2012-01-01,0.65,,
133,2013-01-01,0.68,,
134,2014-01-01,0.75,,
135,2015-01-01,0.9,,
136,2016-01-01,1.02,,
137,2017-01-01,0.93,,
138,2018-01-01,0.86,,
139,2019-01-01,0.99,,
140,2020-01-01,0.8334395324536639,0.7777243275139367,0.8913870697651727
141,2021-01-01,0.9141840550253773,0.8573352215302733,0.9680789686091988
142,2022-01-01,0.9259579620139287,0.8688529096624913,0.9775054989021713
143,2023-01-01,0.9291529474855913,0.8743388387691335,0.981550790239865
144,2024-01-01,0.9237945338623681,0.8676864533346706,0.97822217916671
145,2025-01-01,1.0045390564342003,0.9497726659015895,1.0640758056533643
146,2026-01-01,1.0163129634227595,0.9597496700828008,1.0705943454718703
147,2027-01-01,1.0195079488943266,0.9631695150570548,1.0779975706295406
148,2028-01-01,1.0141495352713639,0.9612142705205257,1.06957298144271
149,2029-01-01,1.0948940578430661,1.03843833859599,1.1535068123111702
150,2030-01-01,1.1066679648317115,1.0526031077885394,1.162035729329694
151,2031-01-01,1.1098629503034767,1.051802646783709,1.1657746736093106
152,2032-01-01,1.10450453668066,1.0506547058971831,1.1592278920505164
153,2033-01-01,1.1852490592519822,1.1276195946362986,1.242870305999127
154,2034-01-01,1.1970229662406795,1.145090534126499,1.2525110074772272
155,2035-01-01,1.2002179517125318,1.1453092576565527,1.2502304381992106
156,2036-01-01,1.1948595380894391,1.1382081118076266,1.250975812343337
157,2037-01-01,1.2756040606608001,1.2219019945631817,1.3313386633060822
158,2038-01-01,1.2873779676494987,1.2309269770463782,1.3439056073266729
159,2039-01-01,1.290572953120841,1.23561993417407,1.3463089480851596
160,2040-01-01,1.2852145394977679,1.2271760263167768,1.3413700889511226
161,2041-01-01,1.3659590620695727,1.3111776724247923,1.4216029017707403
162,2042-01-01,1.3777329690581732,1.3218896578429729,1.4265874336032143
163,2043-01-01,1.3809279545297652,1.3253788184757898,1.4336948890249612
164,2044-01-01,1.3755695409066169,1.322676320214799,1.433284298786802
165,2045-01-01,1.4563140634784544,1.3990308773737024,1.5107619079819286
166,2046-01-01,1.4680879704669625,1.412093023144786,1.5232417397830649
167,2047-01-01,1.471282955938398,1.4149729684682053,1.5251217577780372
168,2048-01-01,1.465924542315499,1.4091525512779224,1.5223312250730603
169,2049-01-01,1.5466690648872634,1.4948733904600149,1.6012816557710454
170,2050-01-01,1.5584429718758637,1.5035232326683792,1.612863195980069
